181913649 , https://i.imgflip.com/30b1gx.jpg , 1200 , 1200 , [9, 37, 145], [254, 254, 254], [0, 169, 205], [5, 74, 197]
87743020 , https://i.imgflip.com/1g8my4.jpg , 908 , 600 , [239, 232, 228], [143, 122, 106], [29, 24, 30], [74, 38, 192]
285870 , https://i.imgflip.com/64ku.jpg , 750 , 500 , [100, 170, 231], [183, 196, 151], [185, 150, 26], [87, 95, 70]
101470 , https://i.imgflip.com/26am.jpg , 437 , 500 , [18, 21, 45], [139, 162, 198], [34, 62, 87], [54, 110, 144]
112126428 , https://i.imgflip.com/1ur9b0.jpg , 800 , 1200 , [217, 227, 231], [74, 81, 92], [132, 149, 173], [39, 28, 239]
131087935 , https://i.imgflip.com/261o3j.jpg , 1024 , 761 , [143, 130, 114], [198, 183, 194], [120, 233, 226], [59, 61, 60]
163573 , https://i.imgflip.com/3i7p.jpg , 366 , 500 , [19, 36, 43], [51, 208, 218], [224, 229, 227], [75, 125, 132]
217743513 , https://i.imgflip.com/3lmzyx.jpg , 494 , 500 , [71, 98, 149], [18, 36, 71], [151, 180, 206], [10, 16, 22]
124822590 , https://i.imgflip.com/22bdq6.jpg , 767 , 804 , [27, 27, 20], [212, 198, 176], [74, 73, 53], [134, 125, 110]
114585149 , https://i.imgflip.com/1w7ygt.jpg , 2825 , 1269 , [21, 21, 28], [206, 204, 220], [18, 19, 161], [63, 79, 83]
1367068 , https://i.imgflip.com/tau4.jpg , 368 , 500 , [180, 148, 120], [62, 48, 35], [121, 103, 88], [226, 196, 161]
129242436 , https://i.imgflip.com/24y43o.jpg , 361 , 482 , [73, 90, 96], [216, 210, 214], [41, 47, 48], [112, 133, 151]
247375501 , https://i.imgflip.com/43a45p.png , 720 , 937 , [254, 254, 254], [131, 181, 201], [44, 84, 122], [92, 156, 187]
8279814 , https://i.imgflip.com/4xgqu.jpg , 532 , 480 , [88, 109, 127], [218, 219, 222], [155, 162, 174], [11, 11, 15]
55311130 , https://i.imgflip.com/wxica.jpg , 282 , 580 , [73, 128, 168], [12, 28, 46], [225, 243, 245], [68, 199, 238]
222403160 , https://i.imgflip.com/3oevdk.jpg , 750 , 750 , [235, 225, 222], [98, 103, 115], [163, 161, 170], [50, 54, 62]
131940431 , https://i.imgflip.com/26jxvz.jpg , 449 , 700 , [224, 227, 179], [56, 80, 125], [14, 15, 23], [102, 140, 209]
6531067 , https://i.imgflip.com/3vzej.jpg , 676 , 620 , [71, 76, 104], [196, 183, 189], [32, 36, 63], [122, 117, 137]
4087833 , https://i.imgflip.com/2fm6x.jpg , 403 , 298 , [164, 231, 221], [108, 97, 100], [51, 43, 45], [164, 159, 160]
123999232 , https://i.imgflip.com/21tqf4.jpg , 1236 , 1280 , [245, 246, 248], [115, 121, 113], [53, 61, 73], [171, 180, 160]
135256802 , https://i.imgflip.com/28j0te.jpg , 645 , 900 , [78, 81, 85], [121, 131, 149], [36, 37, 44], [29, 45, 144]
61585 , https://i.imgflip.com/1bip.jpg , 562 , 475 , [75, 32, 89], [184, 148, 161], [53, 17, 42], [119, 90, 132]
80707627 , https://i.imgflip.com/1c1uej.jpg , 709 , 720 , [133, 157, 132], [45, 38, 51], [213, 212, 201], [68, 98, 115]
161865971 , https://i.imgflip.com/2odckz.jpg , 499 , 618 , [254, 254, 254], [19, 18, 18], [177, 145, 132], [84, 78, 77]
438680 , https://i.imgflip.com/9ehk.jpg , 387 , 400 , [50, 68, 204], [112, 168, 212], [31, 35, 46], [82, 98, 100]
89655 , https://i.imgflip.com/1x6f.jpg , 833 , 620 , [76, 70, 105], [245, 250, 253], [19, 7, 12], [141, 171, 214]
89370399 , https://i.imgflip.com/1h7in3.jpg , 395 , 702 , [22, 21, 26], [118, 105, 107], [76, 69, 69], [161, 150, 151]
93895088 , https://i.imgflip.com/1jwhww.jpg , 1202 , 857 , [252, 251, 252], [136, 53, 27], [42, 14, 11], [182, 145, 126]
97984 , https://i.imgflip.com/23ls.jpg , 375 , 500 , [35, 34, 40], [123, 130, 152], [204, 201, 191], [81, 79, 84]
29562797 , https://i.imgflip.com/hlmst.jpg , 350 , 478 , [77, 85, 90], [181, 201, 214], [213, 240, 250], [133, 145, 160]
3218037 , https://i.imgflip.com/1wz1x.jpg , 418 , 300 , [135, 195, 212], [34, 49, 74], [92, 125, 134], [234, 246, 244]
188390779 , https://i.imgflip.com/345v97.jpg , 438 , 680 , [253, 253, 253], [23, 25, 30], [134, 147, 172], [65, 83, 114]
178591752 , https://i.imgflip.com/2ybua0.png , 582 , 800 , [254, 254, 254], [39, 102, 143], [94, 87, 81], [10, 10, 11]
